"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Scenario: Sending a firstname that is 100,000 characters long.
    ","18","test_extremely_large_payload","tests.scenarios.restful_booker","Fri Jan 02 01:08:54 UTC 2026","failed","Fri Jan 02 01:08:54 UTC 2026","","test_large_payload","",""
"","7","test_delete_user_workflow","tests.scenarios.restful_booker","Fri Jan 02 01:08:54 UTC 2026","broken","Fri Jan 02 01:08:54 UTC 2026","","test_booking_workflow","",""
"
    This test will run 5 times with the different inputs defined above.
    ","7","test_create_user_data_driven[A-Manager-201]","tests.scenarios.restful_booker","Fri Jan 02 01:08:54 UTC 2026","failed","Fri Jan 02 01:08:54 UTC 2026","","test_data_driven_booking","",""
"Fixture to create a temporary booking to test against.","13","test_create_booking_id","tests.scenarios.restful_booker","Fri Jan 02 01:08:54 UTC 2026","failed","Fri Jan 02 01:08:54 UTC 2026","","test_create_booking","",""
"","989","Permutation: Valid User Creation","tests.scenarios.eb360","Thu Jan 01 00:38:58 UTC 2026","broken","Thu Jan 01 00:38:59 UTC 2026","","User Management","",""
"
    Stress Test: Running 20 unique creations. 
    Faker ensures no 'Duplicate' errors occur.
    ","545","test_user_stress_creation[user_data1]","tests.scenarios.eb360","Thu Jan 01 02:45:02 UTC 2026","failed","Thu Jan 01 02:45:02 UTC 2026","","test_user_stress","",""
"","6","test_price_boundary_limits[Two Hundred]","tests.scenarios.restful_booker","Fri Jan 02 01:08:54 UTC 2026","passed","Fri Jan 02 01:08:54 UTC 2026","","test_boundary_analysis","",""
"
    Scenario: If the server takes longer than the client's timeout, 
    the framework should raise a Timeout error gracefully.
    ","7","test_api_timeout_handling","tests.scenarios.restful_booker","Fri Jan 02 01:08:54 UTC 2026","failed","Fri Jan 02 01:08:54 UTC 2026","","test_resilience","",""
"","499","Permutation: Negative User ID","tests.scenarios.eb360","Wed Dec 31 23:52:46 UTC 2025","failed","Wed Dec 31 23:52:47 UTC 2025","","User Management","",""
"","6","test_business_logic_date_validation","tests.scenarios.restful_booker","Fri Jan 02 01:08:54 UTC 2026","failed","Fri Jan 02 01:08:54 UTC 2026","","test_business_logic","",""
"","47","test_fuzz_input","tests.scenarios.restful_booker","Fri Jan 02 01:08:54 UTC 2026","passed","Fri Jan 02 01:08:54 UTC 2026","","test_fuzzy_input","",""
"","8","test_price_boundary_limits[-1]","tests.scenarios.restful_booker","Fri Jan 02 01:08:54 UTC 2026","passed","Fri Jan 02 01:08:54 UTC 2026","","test_boundary_analysis","",""
"
    This test will run 5 times with the different inputs defined above.
    ","5","test_create_user_data_driven[John-Engineer-201]","tests.scenarios.restful_booker","Fri Jan 02 01:08:54 UTC 2026","failed","Fri Jan 02 01:08:54 UTC 2026","","test_data_driven_booking","",""
"","553","Permutation: Large ID Boundary","tests.scenarios.eb360","Thu Jan 01 00:39:00 UTC 2026","failed","Thu Jan 01 00:39:01 UTC 2026","","User Management","",""
"This test verifies that a user can successfully create a booking and receives a 200 OK.","7","test_create_booking_success","tests.scenarios.restful_booker","Fri Jan 02 01:08:54 UTC 2026","passed","Fri Jan 02 01:08:54 UTC 2026","TestBooking","Booking Management","",""
"","8","test_create_booking_contract_validation","tests.scenarios.restful_booker","Fri Jan 02 01:08:54 UTC 2026","failed","Fri Jan 02 01:08:54 UTC 2026","","test_booking","",""
