"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","10","","6","1","","0"
"1","","3","User Creation","5","0","","0"
"0","","0","Create Booking","2","0","User can create a valid booking","0"
