"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","3","User Creation","5","0","","0"
"0","","6","","5","0","","0"
"0","","0","Create Booking","1","0","User can create a valid booking","0"
